Parameter,Value,Units,
"Sum of all consumption",1599.418,,
"Sum of all exports",0.6912259,,
"Sum of all respiratory flows",862.0255,,
"Sum of all flows into detritus",966.8972,,
"Total system throughput",3429.032,,
"Sum of all production",1561.921,,
"Mean trophic level of the catch",3.104898,,
"Gross efficiency (catch/net p.p.)",0.0006190379,,
"Calculated total net primary production",1156.999,,
"Total primary production/total respiration",1.342186,,
"Net system production",294.973,,
"Total primary production/total biomass",15.26298,,
"Total biomass/total throughput",0.0221066,,
"Total biomass (excluding detritus)",75.80423,,
"Total catch",0.716226,,
"Connectance Index",0.1793137,,
"System Omnivory Index",0.2967153,,
"Total market value",0.004314788,,
"Total shadow value",0,,
"Total value",0.004314788,,
"Total fixed cost",0.002588873,,
"Total variable cost",0.001725915,,
"Total cost",0.004314789,,
Profit,-4.656613E-10,,
"Ecopath pedigree",0.5801527,,
"Measure of fit, t*",6.528099,,
"Shannon diversity index",2.993316,,
